,id,r,cx,cz,c,contrast,cnr,snr,gcnr
115,565,0.004,0.01,0.0525,1430.0,-51.09823226928711,-1.6422632932662964,1.6468524932861328,1.0
116,572,0.008,0.008,0.05,1460.0,-42.10700988769531,-1.534207820892334,1.5463405847549438,0.9990200882250301
117,573,0.004,-0.002,0.04,1460.0,-49.14504528045654,-1.6876314878463745,1.6935410499572754,1.0
118,596,0.008,-0.016,0.0525,1570.0,-48.36677074432373,-1.5424387454986572,1.548348069190979,0.9997973657536777
119,606,0.003,0.004,0.0675,1420.0,-42.46413707733154,-1.5950018167495728,1.6071035861968994,1.0
120,627,0.008,-0.014,0.045,1450.0,-50.988759994506836,-1.8890354633331299,1.8943818807601929,1.0
121,629,0.008,-0.006,0.0425,1530.0,-45.141844749450684,-2.135885715484619,2.14778208732605,0.999633967921992
122,630,0.003,-0.01,0.065,1460.0,-43.071722984313965,-1.3750202655792236,1.3847428560256958,0.9984848483516592
123,634,0.006,0.004,0.05,1600.0,-47.38182544708252,-1.6044143438339233,1.611302375793457,0.9995209580474561
124,644,0.006,-0.008,0.0475,1540.0,-42.76097297668457,-1.5204050540924072,1.5315502882003784,0.9992804030038042
125,649,0.004,-0.008,0.04,1430.0,-47.90274143218994,-1.4887304306030273,1.4947479963302612,1.0
126,653,0.008,-0.012,0.055,1580.0,-46.85894012451172,-1.5916169881820679,1.5988759994506836,0.9996751137025516
127,660,0.003,0.012,0.05,1480.0,-52.68857479095459,-1.80144464969635,1.8056344985961914,1.0
128,661,0.008,0.008,0.0425,1520.0,-37.37957239151001,-1.5733447074890137,1.5949103832244873,0.9996326680347561
129,664,0.002,-0.008,0.06,1590.0,-3.952977955341339,-0.581450879573822,1.9338524341583252,0.6156393390119903
130,665,0.002,-0.004,0.06,1510.0,-2.459585666656494,-0.4148194491863251,2.0980186462402344,0.5913703089825972
131,666,0.006,-0.004,0.0475,1480.0,-52.65789985656738,-1.8457547426223755,1.8500628471374512,1.0
132,673,0.008,0.004,0.0575,1550.0,-47.69843101501465,-1.682816505432129,1.689781665802002,1.0
133,677,0.006,-0.012,0.045,1490.0,-47.21871376037598,-1.4952489137649536,1.5017902851104736,0.9994635193235257
134,678,0.004,-0.006,0.0475,1500.0,-45.64627647399902,-1.3956091403961182,1.4029326438903809,0.9688346835504313
135,679,0.002,-0.014,0.0675,1600.0,-1.3238456845283508,-0.21989330649375916,1.81636643409729,0.4970761504772927
136,694,0.004,0.006,0.0625,1490.0,-23.54640245437622,-1.8894848823547363,2.0241081714630127,1.0
137,696,0.002,0.006,0.0675,1440.0,-5.244137644767761,-0.40286165475845337,1.0709460973739624,0.5350219470783837
138,698,0.003,0.002,0.0575,1500.0,-46.891655921936035,-1.5051016807556152,1.5119400024414062,1.0
139,703,0.006,0.01,0.0575,1440.0,-41.6355037689209,-1.540192723274231,1.5530580282211304,0.9990426041242361
140,705,0.003,0.006,0.0475,1540.0,-45.921597480773926,-1.625115990638733,1.6333765983581543,1.0
141,707,0.004,0.002,0.0625,1430.0,-48.61621379852295,-1.6421587467193604,1.6482713222503662,1.0
142,709,0.008,-0.004,0.0425,1500.0,-44.035582542419434,-1.5532209873199463,1.5630427598953247,0.9995123140664889
143,710,0.002,0.008,0.0625,1520.0,-45.320138931274414,-1.685883641242981,1.6950716972351074,1.0
144,711,0.002,0.006,0.065,1570.0,-45.43388843536377,-1.9983354806900024,2.0090854167938232,1.0
145,716,0.002,-0.012,0.0575,1540.0,-40.33529281616211,-1.407440185546875,1.4211138486862183,1.0
146,721,0.008,0.002,0.0675,1420.0,-46.71903133392334,-1.6098582744598389,1.6173200607299805,0.9992684710773471
147,727,0.004,0.014,0.055,1560.0,-32.259202003479004,-1.068887710571289,1.114989161491394,0.7923077550490359
148,729,0.002,0.01,0.0575,1490.0,-44.04240608215332,-1.559201955795288,1.5690540075302124,1.0
149,752,0.002,-0.008,0.05,1600.0,-47.15855121612549,-1.5074541568756104,1.5140950679779053,1.0
150,753,0.002,-0.004,0.05,1440.0,-45.423030853271484,-1.6670117378234863,1.6759886741638184,1.0
151,758,0.008,0.008,0.0425,1490.0,-44.41051006317139,-1.4913146495819092,1.500344157218933,0.9980408963683145
152,773,0.003,0.006,0.0475,1530.0,-40.94559669494629,-1.5652045011520386,1.5793694257736206,1.0
153,776,0.003,-0.006,0.0525,1460.0,-42.387099266052246,-1.608612298965454,1.6209267377853394,1.0
154,779,0.002,0.006,0.0625,1600.0,-31.520977020263672,-1.3932383060455322,1.4539164304733276,0.9000771031217991
155,781,0.004,-0.004,0.0575,1580.0,-32.08503246307373,-1.7250564098358154,1.7690635919570923,0.9986789963162
156,782,0.004,0.012,0.0425,1590.0,-52.035484313964844,-1.999767541885376,2.0047831535339355,1.0
157,785,0.006,-0.016,0.0675,1460.0,-48.27603816986084,-1.5166049003601074,1.5224764347076416,1.0
158,788,0.002,-0.006,0.0525,1580.0,-30.80716371536255,-1.7615175247192383,1.813788652420044,1.0
159,792,0.002,0.0,0.07,1590.0,-45.701751708984375,-1.422614574432373,1.4300321340560913,1.0
160,801,0.006,0.016,0.06,1470.0,-47.83824443817139,-1.5153714418411255,1.5215426683425903,0.9996219281525387
161,804,0.008,0.004,0.0425,1520.0,-46.89533233642578,-1.6078994274139404,1.615201711654663,0.9996342355427263
162,806,0.002,-0.002,0.04,1590.0,-43.06743144989014,-1.395599365234375,1.4054723978042603,1.0
163,810,0.004,-0.008,0.0575,1440.0,-37.23799228668213,-1.7190788984298706,1.743034839630127,1.0
164,817,0.003,0.014,0.0425,1510.0,-43.694748878479004,-1.424716830253601,1.434089183807373,1.0
165,823,0.006,-0.002,0.045,1480.0,-45.19340515136719,-1.5190637111663818,1.5274641513824463,0.9995195771925316
166,834,0.006,-0.014,0.065,1580.0,-50.787153244018555,-2.076201915740967,2.082216262817383,1.0
167,842,0.008,0.004,0.04,1490.0,-49.49246406555176,-1.5850905179977417,1.5904226303100586,0.9996086616134838
168,843,0.002,-0.012,0.0625,1500.0,1.3440302014350891,0.1876036524772644,1.540528655052185,0.5169753744462131
169,844,0.003,0.016,0.0525,1450.0,-38.722660541534424,-1.624341368675232,1.6433789730072021,1.0
170,857,0.006,-0.01,0.06,1440.0,-39.54739570617676,-1.531994104385376,1.5483052730560303,0.9995209580958835
171,861,0.002,-0.014,0.0675,1430.0,-1.7480190098285675,-0.14332978427410126,1.1063443422317505,0.5555555802863529
172,871,0.002,-0.006,0.055,1480.0,-46.80488109588623,-1.9301856756210327,1.9390546083450317,1.0
173,873,0.002,-0.014,0.07,1550.0,-42.426490783691406,-1.4188625812530518,1.4296748638153076,0.9942528731541135
174,874,0.002,0.002,0.0425,1420.0,-43.58863830566406,-1.7221975326538086,1.7336698770523071,1.0
175,875,0.003,-0.004,0.06,1510.0,-36.286606788635254,-1.7832980155944824,1.8110709190368652,1.0
176,879,0.008,0.0,0.0575,1520.0,-46.034555435180664,-1.5952181816101074,1.6032216548919678,0.9993905411677351
177,883,0.003,0.002,0.065,1570.0,-28.453450202941895,-1.5945768356323242,1.7159322500228882,0.9295318350163236
178,885,0.008,0.016,0.0475,1580.0,-41.70479774475098,-1.55490243434906,1.5677865743637085,0.9995945671493354
179,890,0.006,0.012,0.06,1510.0,-46.72839641571045,-1.4516329765319824,1.458354115486145,0.9994632313019616
180,900,0.006,0.012,0.0425,1570.0,-45.31926155090332,-1.5374928712844849,1.5458722114562988,0.999196141453309
181,905,0.008,0.012,0.0525,1430.0,-48.99125576019287,-1.586991548538208,1.5926481485366821,0.9998374776487791
182,908,0.003,-0.016,0.0525,1480.0,-42.60810852050781,-1.2718912363052368,1.2813814878463745,0.9980657641799726
183,918,0.006,-0.012,0.0575,1550.0,-39.44622993469238,-1.4497381448745728,1.4653565883636475,0.9991946308826312
184,922,0.002,0.0,0.05,1440.0,-39.627487659454346,-1.553846836090088,1.570237636566162,1.0
185,928,0.004,0.004,0.0675,1470.0,-47.438721656799316,-1.656795859336853,1.6639906167984009,0.9973421930073392
186,934,0.002,0.002,0.0675,1550.0,-0.8554217964410782,-0.11401890218257904,1.727567195892334,0.5847954424001742
187,944,0.004,0.016,0.055,1500.0,-34.99382019042969,-1.555606722831726,1.5837918519973755,0.9990548203483355
188,951,0.008,0.002,0.0525,1560.0,-50.43780326843262,-1.694346308708191,1.6994563341140747,0.9998780339046783
