id,r,cx,cz,c,contrast,cnr,snr,gcnr
776,0.003,-0.006,0.0525,1460.0,-0.2498875744640827,-0.1933005601167678,9.2838773727417,0.2880312097756352
779,0.002,0.006,0.0625,1600.0,-0.0076345377601683,-0.0063312603160738,10.025307655334473,0.5290108722204158
781,0.004,-0.004,0.0575,1580.0,-1.030573472380638,-0.3579684793949127,5.107366561889648,0.2725736568128022
782,0.004,0.012,0.0425,1590.0,-2.588147521018982,-0.7676507234573364,3.066582679748535,0.4288385318894423
785,0.006,-0.016,0.0675,1460.0,-6.754845976829529,-4.243969440460205,8.387986183166504,0.9959379854655712
788,0.002,-0.006,0.0525,1580.0,-0.1481735426932573,-0.1003486961126327,8.464160919189453,0.5121943229659497
792,0.002,0.0,0.07,1590.0,0.0544082466512918,0.0427374169230461,9.331816673278809,0.5627690838406463
801,0.006,0.016,0.06,1470.0,-6.162704229354858,-3.63441014289856,8.95311450958252,0.9699661094962766
804,0.008,0.004,0.0425,1520.0,-5.993142127990723,-3.048713207244873,7.316323757171631,0.9537014521693506
806,0.002,-0.002,0.04,1590.0,-1.847526729106903,-0.8441377878189087,4.916297435760498,0.5850972831397945
810,0.004,-0.008,0.0575,1440.0,-6.062506437301636,-3.917309522628784,8.868330001831055,0.9913898163671854
817,0.003,0.014,0.0425,1510.0,-1.6962584853172302,-0.8245425820350647,5.29177713394165,0.5066008008033767
823,0.006,-0.002,0.045,1480.0,-6.08756422996521,-3.3595521450042725,7.176348209381104,0.9738447430084398
834,0.006,-0.014,0.065,1580.0,-6.317929029464722,-2.382168292999268,4.710307598114014,0.915432377499739
842,0.008,0.004,0.04,1490.0,-6.277429461479187,-3.740619659423828,8.75786018371582,0.9855392419334498
843,0.002,-0.012,0.0625,1500.0,0.0292628863826394,0.0229498036205768,9.16457748413086,0.5469912865877916
844,0.003,0.016,0.0525,1450.0,-2.8286615014076237,-1.868055820465088,8.883596420288086,0.8268221595052794
857,0.006,-0.01,0.06,1440.0,-4.833651781082153,-1.2252544164657593,2.909759521484375,0.635706156881656
861,0.002,-0.014,0.0675,1430.0,-0.2661674655973911,-0.1946406215429306,8.735297203063965,0.5672506118406374
871,0.002,-0.006,0.055,1480.0,-0.3930126875638962,-0.3051323592662811,9.206384658813477,0.5426827708662544
873,0.002,-0.014,0.07,1550.0,0.0754807284101843,0.0635382831096649,10.05960750579834,0.5320638825287353
874,0.002,0.002,0.0425,1420.0,0.1465174742043018,0.0809790194034576,6.860184669494629,0.5730991935288735
875,0.003,-0.004,0.06,1510.0,-0.2626070193946361,-0.1801137328147888,8.03600788116455,0.2858624427036521
879,0.008,0.0,0.0575,1520.0,-6.588003039360046,-2.950146198272705,5.72319221496582,0.9406265688422896
883,0.003,0.002,0.065,1570.0,-0.1207632478326559,-0.0929049402475357,9.404047966003418,0.2851478137888236
885,0.008,0.016,0.0475,1580.0,-5.705705285072327,-2.522782802581787,5.4989542961120605,0.9136925692517364
890,0.006,0.012,0.06,1510.0,-5.860597491264343,-2.0462217330932617,4.530935287475586,0.8604878650502685
900,0.006,0.012,0.0425,1570.0,-5.14424741268158,-1.5976966619491575,3.6464321613311768,0.7865366384354529
905,0.008,0.012,0.0525,1430.0,-5.3263139724731445,-1.498812198638916,3.3184399604797363,0.7341818251583155
908,0.003,-0.016,0.0525,1480.0,-2.7064478397369385,-1.6872053146362305,8.848372459411621,0.7683057350025333
918,0.006,-0.012,0.0575,1550.0,-5.401601791381836,-1.917565107345581,4.883353233337402,0.8495011702939688
922,0.002,0.0,0.05,1440.0,-4.520673453807831,-1.6702511310577393,4.27657413482666,0.8209877266039599
928,0.004,0.004,0.0675,1470.0,-3.487277030944824,-1.3858001232147217,9.11794662475586,0.6971549363268824
934,0.002,0.002,0.0675,1550.0,0.0422352040186524,0.0307100769132375,9.13028335571289,0.5497070372289226
944,0.004,0.016,0.055,1500.0,-4.185062646865845,-1.4460577964782717,3.963933706283569,0.728129702009729
951,0.008,0.002,0.0525,1560.0,-6.238231062889099,-3.592576265335083,8.091506958007812,0.9791473938353508
954,0.004,-0.008,0.04,1430.0,-4.560501873493195,-2.6372299194335938,7.393310070037842,0.962233946321006
957,0.003,0.0,0.0475,1430.0,-2.3381152749061584,-0.6842343211174011,2.9957926273345947,0.4188817841775827
958,0.004,0.006,0.0575,1580.0,-4.88617867231369,-1.7632973194122314,5.0607733726501465,0.8082799476462218
960,0.003,0.016,0.065,1500.0,-0.3515263646841049,-0.2839975357055664,9.6797456741333,0.3275062254099571
963,0.006,0.008,0.055,1550.0,-5.785279273986816,-3.8744423389434814,8.981014251708984,0.991388931869562
974,0.006,0.012,0.07,1570.0,-5.935642719268799,-2.628535747528076,5.490952491760254,0.9151029972678276
992,0.003,0.006,0.05,1550.0,-3.4309121966362,-1.3565863370895386,4.379347801208496,0.7141486723790764
1000,0.004,-0.014,0.04,1460.0,-3.566562831401825,-1.2582377195358276,4.492678642272949,0.7072135179011749
1002,0.006,0.008,0.0675,1530.0,-6.466966271400452,-4.398715496063232,9.786063194274902,0.9925790072330296
1008,0.008,0.01,0.065,1450.0,-6.40086829662323,-3.4617106914520264,7.073692798614502,0.9597757609079944
1016,0.002,-0.008,0.0475,1500.0,-0.1628287695348262,-0.1095761507749557,8.142107963562012,0.5230081929340568
1018,0.003,-0.004,0.07,1530.0,-0.1660873182117939,-0.1543999761343002,11.511094093322754,0.268506483467942
1037,0.002,-0.01,0.065,1460.0,-0.1445863768458366,-0.1158160641789436,9.264561653137209,0.4900589191122833
1041,0.008,0.012,0.0675,1540.0,-5.551450848579407,-2.230712413787842,6.28584098815918,0.877604934089449
