id,r,cx,cz,c,contrast,cnr,snr,gcnr
535,0.002,0.012,0.0525,1560.0,-7.211206555366516,-0.7762499451637268,1.443558692932129,0.5548780569028604
540,0.003,0.006,0.06,1490.0,-7.7202266454696655,-0.9732205271720886,1.7665317058563232,0.5875156235110779
548,0.004,-0.012,0.055,1420.0,-7.4638766050338745,-0.8955766558647156,1.6518046855926514,0.5412488769223476
552,0.004,-0.002,0.0475,1490.0,-7.624409198760986,-0.8395906686782837,1.5104328393936157,0.5159263405515727
556,0.003,-0.006,0.055,1560.0,-9.270721077919006,-1.061476469039917,1.6885437965393066,0.6434737230389742
559,0.003,0.004,0.06,1540.0,-8.570781350135803,-1.0184314250946045,1.7088844776153564,0.6274176392697073
565,0.004,0.01,0.0525,1430.0,-7.540236711502075,-0.8568278551101685,1.5606650114059448,0.5033585631131023
572,0.008,0.008,0.05,1460.0,-9.026130437850952,-0.9791635274887085,1.581247329711914,0.6027451167973096
573,0.004,-0.002,0.04,1460.0,-7.166574001312256,-0.8648169040679932,1.6413557529449463,0.5285034036609954
596,0.008,-0.016,0.0525,1570.0,-9.113869667053223,-1.0380405187606812,1.6717709302902222,0.6184259644326753
606,0.003,0.004,0.0675,1420.0,-7.911309599876404,-0.9726043343544006,1.7367554903030396,0.5865896442061298
627,0.008,-0.014,0.045,1450.0,-7.767597436904907,-0.8805967569351196,1.575392723083496,0.5289137396529395
629,0.008,-0.006,0.0425,1530.0,-9.645373225212097,-1.0274057388305664,1.5908925533294678,0.6368645496210199
630,0.003,-0.01,0.065,1460.0,-7.145397067070007,-0.7945946455001831,1.4961867332458496,0.49796769311723343
634,0.006,0.004,0.05,1600.0,-10.053648948669434,-1.045790433883667,1.5774824619293213,0.648579535342992
644,0.006,-0.008,0.0475,1540.0,-9.411303400993347,-1.0135060548782349,1.5923014879226685,0.6228211953389544
649,0.004,-0.008,0.04,1430.0,-6.809720993041992,-0.8262007236480713,1.6421047449111938,0.4734016942407251
653,0.008,-0.012,0.055,1580.0,-10.970548391342163,-1.1193387508392334,1.6045175790786743,0.7021452601749214
660,0.003,0.012,0.05,1480.0,-7.99565315246582,-0.932569146156311,1.640745759010315,0.5803380332395744
661,0.008,0.008,0.0425,1520.0,-8.88742446899414,-0.996222972869873,1.6296467781066895,0.6014800955722717
664,0.002,-0.008,0.06,1590.0,-8.6971116065979,-1.0678988695144653,1.787545919418335,0.7028178523207174
665,0.002,-0.004,0.06,1510.0,-7.385519742965698,-0.8558388352394104,1.5605573654174805,0.6315957131034784
666,0.006,-0.004,0.0475,1480.0,-8.40009868144989,-0.94511878490448,1.6018024682998657,0.5786730241282965
673,0.008,0.004,0.0575,1550.0,-10.488554239273071,-1.0515443086624146,1.5452543497085571,0.6646142221879753
677,0.006,-0.012,0.045,1490.0,-7.972325682640076,-0.9381111860275269,1.650255799293518,0.5700107715129002
678,0.004,-0.006,0.0475,1500.0,-8.264660239219666,-0.9417681097984314,1.6106069087982178,0.5796871554444097
679,0.002,-0.014,0.0675,1600.0,-7.3258376121521,-0.755882203578949,1.3872478008270264,0.5730993934027805
694,0.004,0.006,0.0625,1490.0,-9.009337425231934,-0.9855236411094666,1.6097500324249268,0.6000490355957534
696,0.002,0.006,0.0675,1440.0,-9.614954590797424,-0.9845618009567261,1.524267315864563,0.668386442431025
698,0.003,0.002,0.0575,1500.0,-7.932379841804504,-0.9606388807296753,1.7134357690811157,0.5785182540639038
703,0.006,0.01,0.0575,1440.0,-8.85546863079071,-1.0049082040786743,1.6500004529953003,0.6006072958571339
705,0.003,0.006,0.0475,1540.0,-8.14447283744812,-0.9374902844429016,1.6221061944961548,0.5805647183391457
707,0.004,0.002,0.0625,1430.0,-8.054143190383911,-0.9726442098617554,1.715203046798706,0.5649057772833349
709,0.008,-0.004,0.0425,1500.0,-8.677927851676941,-0.9966048002243042,1.6559479236602783,0.5983934155348891
710,0.002,0.008,0.0625,1520.0,-10.124478340148926,-0.8673065304756165,1.28741455078125,0.6691262939184852
711,0.002,0.006,0.065,1570.0,-6.948226690292358,-0.924079179763794,1.8178986310958862,0.6911206083325345
716,0.002,-0.012,0.0575,1540.0,-7.205785512924194,-0.9153715968132019,1.7137173414230347,0.6158537575588772
721,0.008,0.002,0.0675,1420.0,-9.21409547328949,-1.0022507905960083,1.5957069396972656,0.6088740644179912
727,0.004,0.014,0.055,1560.0,-8.306196331977844,-0.9158861041069031,1.5619087219238281,0.5548524393761632
729,0.002,0.01,0.0575,1490.0,-8.15959632396698,-1.0555777549743652,1.8664952516555786,0.6904651896209747
752,0.002,-0.008,0.05,1600.0,-8.588138222694397,-0.9421995878219604,1.581116795539856,0.679288448159496
753,0.002,-0.004,0.05,1440.0,-7.3700714111328125,-1.019370675086975,1.9225069284439087,0.6561816259699293
758,0.008,0.008,0.0425,1490.0,-8.765912652015686,-0.9709129333496094,1.5977243185043335,0.5924866684434511
773,0.003,0.006,0.0475,1530.0,-8.521424531936646,-0.9534183740615845,1.5964264869689941,0.6007752196167749
776,0.003,-0.006,0.0525,1460.0,-7.555047869682312,-0.8569169044494629,1.5573616027832031,0.5145434639288999
779,0.002,0.006,0.0625,1600.0,-11.0995352268219,-1.1641182899475098,1.6663340330123901,0.7701388499648467
781,0.004,-0.004,0.0575,1580.0,-9.163053631782532,-1.0854861736297607,1.7438615560531616,0.646329226558622
782,0.004,0.012,0.0425,1590.0,-8.615054488182068,-0.9787555932998657,1.6306965351104736,0.5977758161531377
